Taxonomy_Substrate_Functional_Group,Spp_grouping
Algal Turf,Turf
Amansia rhodantha,Macroalgae
Coral,Hard_coral
Crustose Corallines,Crustose_corallines
Sand,Abiotic
Turbinaria ornata,Macroalgae
Ascidian,Ascidian
Dictyota sp.,Macroalgae
Halimeda sp.,Macroalgae
Asparagopsis taxiformis,Macroalgae
Lobophora variegata,Macroalgae
Sponge,Sponge
Damselfish Turf,Turf
Millepora platyphylla,Fire_coral
Shell Debris,Abiotic
Peyssonnelia inamoena,Crustose_corallines
Soft Coral,Soft_coral
Valonia aegagropila,Macroalgae
Dichotomaria marginata,Macroalgae
Dichotomaria obtusata,Macroalgae
Ralfsia sp.,Macroalgae
Amphiroa fragilissima,Macroalgae
Dictyota friabilis,Macroalgae
Galaxaura sp.,Macroalgae
Corallimorpharia,Corallimorpharia
Caulerpa serrulata,Macroalgae
Cyanophyta,Cyanophyta
Liagora ceranoides,Macroalgae
Halimeda minima,Macroalgae
Coral Rubble,Abiotic
Dictyota bartayresiana,Macroalgae
Galaxaura rugosa,Macroalgae
Halimeda opuntia,Macroalgae
Halimeda discoidea,Macroalgae
Caulerpa racemosa,Macroalgae
Galaxaura filamentosa,Macroalgae
Valonia ventricosa,Macroalgae
No data,No_data
Cladophoropsis membranacea,Macroalgae
Martensia elegans,Macroalgae
Symploca hydnoides,Macroalgae
Halimeda distorta,Macroalgae
Dictyosphaeria versluysii,Macroalgae
Actinotrichia fragilis,Macroalgae
Microdictyon umbilicatum,Macroalgae
Halimeda incrassata,Macroalgae
Jania sp.,Macroalgae
Dictyosphaeria cavernosa,Macroalgae
Halimeda macroloba,Macroalgae
Lithophyllum kotschyanum,Crustose_corallines
Dictyota hamifera,Macroalgae
Heteractis sp.,Heteractis
Tridacna sp.,Tridacna
Gelidiella acerosa,Macroalgae
Caulerpa peltata,Macroalgae
Dictyota implexa,Macroalgae
Peyssonnelia bornetii,Crustose_corallines
Bare Space,Abiotic
Microdictyon okamurae,Macroalgae
Halimeda taenicola,Macroalgae
Chlorodesmis fastigiata,Macroalgae
Phyllodictyon anastomosans,Macroalgae
Chnoospora implexa,Macroalgae
Codium geppiorum,Macroalgae
Phormidium sp.,Macroalgae
Gibsmithia hawaiiensis,Macroalgae
Peyssonnelia sp.,Crustose_corallines
Cladophoropsis luxurians,Macroalgae
Neogoniolithon frutescens,Crustose_corallines
Neomeris vanbosseae,Macroalgae
Caulerpa pickeringii,Macroalgae
Rhipidosiphon javensis,Macroalgae
Sargassum pacificum,Macroalgae
Padina boryana,Macroalgae
Hypnea spinella,Macroalgae
Chaetomorpha antennina,Macroalgae
Boodlea kaeneana,Macroalgae
Acanthophora spicifera,Macroalgae
Coelothrix irregularis,Macroalgae
Gelidiella sp.,Macroalgae
Hydroclathrus clathratus,Macroalgae
Dictyota divaricata,Macroalgae
Sporolithon sp.,Crustose_corallines
Sarcophyton sp.,Soft_coral
Colpomenia sinuosa,Macroalgae