Year,Spp_grouping,Site,Total_percent,Mean_perc_cov,N
2013,Crustose_corallines,LTER 1,2448,12.24,400
2013,Crustose_corallines,LTER 2,2732,13.66,350
2013,Crustose_corallines,LTER 3,5140,25.7,300
2013,Crustose_corallines,LTER 4,2868,14.34,350
2013,Crustose_corallines,LTER 5,2712,13.56,300
2013,Crustose_corallines,LTER 6,2592,12.96,300
2013,Cyanophyta,LTER 2,4,0.02,50
2013,Cyanophyta,LTER 4,12,0.06,100
2013,Cyanophyta,LTER 5,144,0.72,50
2013,Cyanophyta,LTER 6,40,0.2,100
2013,Fire_coral,LTER 1,124,0.62,100
2013,Fire_coral,LTER 2,412,2.06,150
2013,Fire_coral,LTER 4,352,1.76,100
2013,Fire_coral,LTER 5,196,0.98,100
2013,Fire_coral,LTER 6,44,0.22,50
2013,Hard_coral,LTER 1,1728,8.64,200
2013,Hard_coral,LTER 2,1592,7.96,200
2013,Hard_coral,LTER 3,2624,13.12,200
2013,Hard_coral,LTER 4,3008,15.04,200
2013,Hard_coral,LTER 5,5556,27.78,200
2013,Hard_coral,LTER 6,4364,21.82,200
2013,Heteractis,LTER 3,36,0.18,50
2013,Macroalgae,LTER 1,1580,7.9,800
2013,Macroalgae,LTER 2,1652,8.26,850
2013,Macroalgae,LTER 3,1532,7.66,850
2013,Macroalgae,LTER 4,664,3.32,1200
2013,Macroalgae,LTER 5,1432,7.16,1000
2013,Macroalgae,LTER 6,1812,9.06,1100
2013,Soft_coral,LTER 4,20,0.1,50
2013,Soft_coral,LTER 5,80,0.4,50
2013,Sponge,LTER 1,8,0.04,50
2013,Sponge,LTER 5,8,0.04,50
2013,Turf,LTER 1,13040,65.2,200
2013,Turf,LTER 2,12628,63.14,200
2013,Turf,LTER 3,8760,43.8,200
2013,Turf,LTER 4,11228,56.14,200
2013,Turf,LTER 5,7480,37.4,200
2013,Turf,LTER 6,9160,45.8,200
2014,Abiotic,LTER 1,1560,7.8,199
2014,Abiotic,LTER 2,1636,8.18,200
2014,Abiotic,LTER 3,1804,9.02,200
2014,Abiotic,LTER 4,3680,18.4,200
2014,Abiotic,LTER 5,2820,14.1,200
2014,Abiotic,LTER 6,2444,12.22,200
2014,Corallimorpharia,LTER 1,4,0.02,49
2014,Corallimorpharia,LTER 2,72,0.36,100
2014,Corallimorpharia,LTER 5,52,0.26,50
2014,Corallimorpharia,LTER 6,36,0.18,50
2014,Crustose_corallines,LTER 1,2444,12.22,299
2014,Crustose_corallines,LTER 2,2000,10,350
2014,Crustose_corallines,LTER 3,3028,15.14,350
2014,Crustose_corallines,LTER 4,2688,13.44,300
2014,Crustose_corallines,LTER 5,2716,13.58,300
2014,Crustose_corallines,LTER 6,2632,13.16,300
2014,Cyanophyta,LTER 1,68,0.34,149
2014,Cyanophyta,LTER 2,60,0.3,150
2014,Cyanophyta,LTER 3,56,0.28,150
2014,Cyanophyta,LTER 4,192,0.96,100
2014,Cyanophyta,LTER 5,96,0.48,200
2014,Cyanophyta,LTER 6,32,0.16,150
2014,Fire_coral,LTER 1,116,0.58,50
2014,Fire_coral,LTER 2,408,2.04,150
2014,Fire_coral,LTER 4,372,1.86,100
2014,Fire_coral,LTER 5,304,1.52,100
2014,Fire_coral,LTER 6,72,0.36,100
2014,Hard_coral,LTER 1,2444,12.22,199
2014,Hard_coral,LTER 2,1780,8.9,200
2014,Hard_coral,LTER 3,2548,12.74,200
2014,Hard_coral,LTER 4,2880,14.4,200
2014,Hard_coral,LTER 5,5472,27.36,200
2014,Hard_coral,LTER 6,4336,21.68,200
2014,Heteractis,LTER 3,28,0.14,50
2014,Macroalgae,LTER 1,2004,10.02,994
2014,Macroalgae,LTER 2,2068,10.34,850
2014,Macroalgae,LTER 3,2968,14.84,1300
2014,Macroalgae,LTER 4,784,3.92,1350
2014,Macroalgae,LTER 5,836,4.18,1150
2014,Macroalgae,LTER 6,1104,5.52,1100
2014,No_data,LTER 1,-1,-0.005,1
2014,Soft_coral,LTER 4,16,0.08,50
2014,Soft_coral,LTER 5,24,0.12,50
2014,Sponge,LTER 5,12,0.06,50
2014,Tridacna,LTER 3,4,0.02,50
2014,Tridacna,LTER 4,8,0.04,50
2014,Tridacna,LTER 6,12,0.06,50
2014,Turf,LTER 1,11260,56.3,199
2014,Turf,LTER 2,11976,59.88,250
2014,Turf,LTER 3,9564,47.82,200
2014,Turf,LTER 4,9380,46.9,200
2014,Turf,LTER 5,7668,38.34,300
2014,Turf,LTER 6,9332,46.66,300
2015,Abiotic,LTER 1,2652,13.26,200
2015,Abiotic,LTER 2,1552,7.76,200
2015,Abiotic,LTER 3,2376,11.88,200
2015,Abiotic,LTER 4,3788,18.94,200
2015,Abiotic,LTER 5,2328,11.64,200
2015,Abiotic,LTER 6,1936,9.68,200
2015,Corallimorpharia,LTER 2,32,0.16,100
2015,Corallimorpharia,LTER 4,8,0.04,50
2015,Corallimorpharia,LTER 5,100,0.5,50
2015,Crustose_corallines,LTER 1,2128,10.64,350
2015,Crustose_corallines,LTER 2,1616,8.08,300
2015,Crustose_corallines,LTER 3,2676,13.38,300
2015,Crustose_corallines,LTER 4,2488,12.44,300
2015,Crustose_corallines,LTER 5,2892,14.46,300
2015,Crustose_corallines,LTER 6,2484,12.42,300
2015,Cyanophyta,LTER 2,12,0.06,50
2015,Cyanophyta,LTER 3,20,0.1,100
2015,Cyanophyta,LTER 4,416,2.08,200
2015,Cyanophyta,LTER 5,388,1.94,150
2015,Cyanophyta,LTER 6,192,0.96,150
2015,Fire_coral,LTER 1,132,0.66,50
2015,Fire_coral,LTER 2,468,2.34,150
2015,Fire_coral,LTER 3,4,0.02,50
2015,Fire_coral,LTER 4,356,1.78,100
2015,Fire_coral,LTER 5,324,1.62,100
2015,Fire_coral,LTER 6,68,0.34,100
2015,Hard_coral,LTER 1,3576,17.88,200
2015,Hard_coral,LTER 2,2532,12.66,200
2015,Hard_coral,LTER 3,2228,11.14,200
2015,Hard_coral,LTER 4,3676,18.38,200
2015,Hard_coral,LTER 5,6008,30.04,200
2015,Hard_coral,LTER 6,4804,24.02,200
2015,Heteractis,LTER 3,44,0.22,50
2015,Macroalgae,LTER 1,3268,16.34,850
2015,Macroalgae,LTER 2,2556,12.78,1000
2015,Macroalgae,LTER 3,3756,18.78,1300
2015,Macroalgae,LTER 4,1200,6,1000
2015,Macroalgae,LTER 5,768,3.84,1600
2015,Macroalgae,LTER 6,1644,8.22,1250
2015,Soft_coral,LTER 4,16,0.08,50
2015,Soft_coral,LTER 5,108,0.54,50
2015,Sponge,LTER 5,28,0.14,50
2015,Turf,LTER 1,8244,41.22,300
2015,Turf,LTER 2,11232,56.16,300
2015,Turf,LTER 3,8896,44.48,300
2015,Turf,LTER 4,8052,40.26,200
2015,Turf,LTER 5,7056,35.28,300
2015,Turf,LTER 6,8872,44.36,200
2016,Abiotic,LTER 1,2812,14.06,200
2016,Abiotic,LTER 2,1652,8.26,200
2016,Abiotic,LTER 3,2620,13.1,200
2016,Abiotic,LTER 4,2952,14.76,200
2016,Abiotic,LTER 5,2644,13.22,200
2016,Abiotic,LTER 6,2532,12.66,200
2016,Corallimorpharia,LTER 1,4,0.02,50
2016,Corallimorpharia,LTER 2,28,0.14,50
2016,Corallimorpharia,LTER 4,4,0.02,50
2016,Corallimorpharia,LTER 5,36,0.18,50
2016,Corallimorpharia,LTER 6,36,0.18,50
2016,Crustose_corallines,LTER 1,2036,10.18,350
2016,Crustose_corallines,LTER 2,1664,8.32,300
2016,Crustose_corallines,LTER 3,3736,18.68,300
2016,Crustose_corallines,LTER 4,3592,17.96,350
2016,Crustose_corallines,LTER 5,3060,15.3,300
2016,Crustose_corallines,LTER 6,2484,12.42,300
2016,Cyanophyta,LTER 1,216,1.08,150
2016,Cyanophyta,LTER 2,144,0.72,150
2016,Cyanophyta,LTER 3,176,0.88,100
2016,Cyanophyta,LTER 4,232,1.16,150
2016,Cyanophyta,LTER 5,356,1.78,150
2016,Cyanophyta,LTER 6,556,2.78,150
2016,Fire_coral,LTER 1,132,0.66,50
2016,Fire_coral,LTER 2,532,2.66,100
2016,Fire_coral,LTER 4,296,1.48,100
2016,Fire_coral,LTER 5,304,1.52,100
2016,Fire_coral,LTER 6,64,0.32,100
2016,Hard_coral,LTER 1,4352,21.76,200
2016,Hard_coral,LTER 2,2952,14.76,200
2016,Hard_coral,LTER 3,2824,14.12,200
2016,Hard_coral,LTER 4,4260,21.3,200
2016,Hard_coral,LTER 5,6852,34.26,200
2016,Hard_coral,LTER 6,3940,19.7,200
2016,Macroalgae,LTER 1,3520,17.6,1100
2016,Macroalgae,LTER 2,2976,14.88,1250
2016,Macroalgae,LTER 3,3024,15.12,1400
2016,Macroalgae,LTER 4,1112,5.56,1050
2016,Macroalgae,LTER 5,464,2.32,750
2016,Macroalgae,LTER 6,2580,12.9,850
2016,Soft_coral,LTER 4,8,0.04,50
2016,Soft_coral,LTER 5,136,0.68,50
2016,Sponge,LTER 2,8,0.04,100
2016,Sponge,LTER 5,12,0.06,50
2016,Tridacna,LTER 1,4,0.02,50
2016,Tridacna,LTER 3,16,0.08,50
2016,Tridacna,LTER 4,16,0.08,50
2016,Turf,LTER 1,6924,34.62,300
2016,Turf,LTER 2,10044,50.22,250
2016,Turf,LTER 3,7604,38.02,300
2016,Turf,LTER 4,7528,37.64,250
2016,Turf,LTER 5,6136,30.68,300
2016,Turf,LTER 6,7808,39.04,300
2017,Abiotic,LTER 1,4528,22.64,300
2017,Abiotic,LTER 2,3452,17.26,400
2017,Abiotic,LTER 3,2984,14.92,400
2017,Abiotic,LTER 4,4844,24.22,398
2017,Abiotic,LTER 5,3708,18.54,450
2017,Abiotic,LTER 6,3232,16.16,450
2017,Crustose_corallines,LTER 1,2468,12.34,300
2017,Crustose_corallines,LTER 2,1596,7.98,450
2017,Crustose_corallines,LTER 3,3188,15.94,290
2017,Crustose_corallines,LTER 4,3320,16.6,300
2017,Crustose_corallines,LTER 5,2512,12.56,350
2017,Crustose_corallines,LTER 6,2708,13.54,350
2017,Cyanophyta,LTER 2,56,0.28,100
2017,Cyanophyta,LTER 3,108,0.54,100
2017,Cyanophyta,LTER 4,160,0.8,200
2017,Cyanophyta,LTER 5,312,1.56,140
2017,Cyanophyta,LTER 6,296,1.48,100
2017,Fire_coral,LTER 1,148,0.74,50
2017,Fire_coral,LTER 2,308,1.54,100
2017,Fire_coral,LTER 4,224,1.12,100
2017,Fire_coral,LTER 5,308,1.54,100
2017,Fire_coral,LTER 6,56,0.28,100
2017,Hard_coral,LTER 1,5240,26.2,200
2017,Hard_coral,LTER 2,3300,16.5,200
2017,Hard_coral,LTER 3,2472,12.36,200
2017,Hard_coral,LTER 4,4764,23.82,200
2017,Hard_coral,LTER 5,7524,37.62,200
2017,Hard_coral,LTER 6,4676,23.38,200
2017,Macroalgae,LTER 1,2068,10.34,1000
2017,Macroalgae,LTER 2,2796,13.98,850
2017,Macroalgae,LTER 3,2176,10.88,890
2017,Macroalgae,LTER 4,272,1.36,350
2017,Macroalgae,LTER 5,212,1.06,540
2017,Macroalgae,LTER 6,1180,5.9,750
2017,No_data,LTER 6,-49,-0.245,49
2017,Soft_coral,LTER 4,8,0.04,50
2017,Soft_coral,LTER 5,112,0.56,50
2017,Sponge,LTER 1,48,0.24,50
2017,Sponge,LTER 2,12,0.06,50
2017,Tridacna,LTER 3,4,0.02,50
2017,Tridacna,LTER 4,8,0.04,50
2017,Tridacna,LTER 6,8,0.04,50
2017,Turf,LTER 1,5508,27.54,299
2017,Turf,LTER 2,8480,42.4,300
2017,Turf,LTER 3,9068,45.34,300
2017,Turf,LTER 4,6400,32,300
2017,Turf,LTER 5,5352,26.76,300
2017,Turf,LTER 6,7796,38.98,300
2018,Abiotic,LTER 1,5064,25.32,250
2018,Abiotic,LTER 2,2292,11.46,300
2018,Abiotic,LTER 3,3904,19.52,300
2018,Abiotic,LTER 4,5080,25.4,300
2018,Abiotic,LTER 5,2808,14.04,300
2018,Abiotic,LTER 6,3368,16.84,300
2018,Crustose_corallines,LTER 1,1824,9.12,300
2018,Crustose_corallines,LTER 2,1648,8.24,400
2018,Crustose_corallines,LTER 3,2856,14.28,350
2018,Crustose_corallines,LTER 4,2448,12.24,300
2018,Crustose_corallines,LTER 5,2520,12.6,350
2018,Crustose_corallines,LTER 6,1640,8.2,250
2018,Cyanophyta,LTER 1,44,0.22,50
2018,Cyanophyta,LTER 2,36,0.18,50
2018,Cyanophyta,LTER 3,28,0.14,100
2018,Cyanophyta,LTER 4,124,0.62,100
2018,Cyanophyta,LTER 5,12,0.06,50
2018,Cyanophyta,LTER 6,60,0.3,150
2018,Fire_coral,LTER 1,116,0.58,100
2018,Fire_coral,LTER 2,416,2.08,150
2018,Fire_coral,LTER 4,184,0.92,100
2018,Fire_coral,LTER 5,276,1.38,100
2018,Fire_coral,LTER 6,44,0.22,100
2018,Hard_coral,LTER 1,6068,30.34,200
2018,Hard_coral,LTER 2,4776,23.88,200
2018,Hard_coral,LTER 3,2636,13.18,200
2018,Hard_coral,LTER 4,4872,24.36,200
2018,Hard_coral,LTER 5,8368,41.84,200
2018,Hard_coral,LTER 6,5052,25.26,200
2018,Macroalgae,LTER 1,1268,6.34,650
2018,Macroalgae,LTER 2,2872,14.36,800
2018,Macroalgae,LTER 3,2300,11.5,750
2018,Macroalgae,LTER 4,220,1.1,500
2018,Macroalgae,LTER 5,296,1.48,550
2018,Macroalgae,LTER 6,1064,5.32,750
2018,Soft_coral,LTER 5,116,0.58,100
2018,Sponge,LTER 5,168,0.84,50
2018,Tridacna,LTER 4,12,0.06,50
2018,Turf,LTER 1,5616,28.08,300
2018,Turf,LTER 2,7960,39.8,300
2018,Turf,LTER 3,8276,41.38,300
2018,Turf,LTER 4,7060,35.3,250
2018,Turf,LTER 5,5436,27.18,300
2018,Turf,LTER 6,8772,43.86,300
2019,Abiotic,LTER 1,4204,21.02,200
2019,Abiotic,LTER 2,2080,10.4,200
2019,Abiotic,LTER 3,2564,12.82,250
2019,Abiotic,LTER 4,3844,19.22,200
2019,Abiotic,LTER 5,2700,13.5,200
2019,Abiotic,LTER 6,2336,11.68,200
2019,Ascidian,LTER 4,4,0.02,50
2019,Crustose_corallines,LTER 1,876,4.38,300
2019,Crustose_corallines,LTER 2,1188,5.94,400
2019,Crustose_corallines,LTER 3,2464,12.32,300
2019,Crustose_corallines,LTER 4,2044,10.22,300
2019,Crustose_corallines,LTER 5,2724,13.62,300
2019,Crustose_corallines,LTER 6,2160,10.8,300
2019,Cyanophyta,LTER 1,36,0.18,50
2019,Cyanophyta,LTER 2,208,1.04,100
2019,Cyanophyta,LTER 3,100,0.5,150
2019,Cyanophyta,LTER 4,508,2.54,150
2019,Cyanophyta,LTER 5,40,0.2,150
2019,Cyanophyta,LTER 6,76,0.38,200
2019,Fire_coral,LTER 1,84,0.42,50
2019,Fire_coral,LTER 2,372,1.86,150
2019,Fire_coral,LTER 4,232,1.16,100
2019,Fire_coral,LTER 5,140,0.7,50
2019,Fire_coral,LTER 6,76,0.38,100
2019,Hard_coral,LTER 1,6360,31.8,200
2019,Hard_coral,LTER 2,4776,23.88,200
2019,Hard_coral,LTER 3,3064,15.32,200
2019,Hard_coral,LTER 4,5224,26.12,200
2019,Hard_coral,LTER 5,8608,43.04,200
2019,Hard_coral,LTER 6,5256,26.28,200
2019,Macroalgae,LTER 1,1932,9.66,700
2019,Macroalgae,LTER 2,2376,11.88,800
2019,Macroalgae,LTER 3,2900,14.5,950
2019,Macroalgae,LTER 4,400,2,500
2019,Macroalgae,LTER 5,292,1.46,550
2019,Macroalgae,LTER 6,588,2.94,750
2019,Soft_coral,LTER 4,8,0.04,50
2019,Soft_coral,LTER 5,72,0.36,50
2019,Soft_coral,LTER 6,8,0.04,50
2019,Sponge,LTER 5,20,0.1,50
2019,Tridacna,LTER 6,4,0.02,50
2019,Turf,LTER 1,6496,32.48,250
2019,Turf,LTER 2,9000,45,300
2019,Turf,LTER 3,8908,44.54,300
2019,Turf,LTER 4,7736,38.68,300
2019,Turf,LTER 5,5404,27.02,300
2019,Turf,LTER 6,9496,47.48,300
2020,Abiotic,LTER 1,4476,22.38,200
2020,Abiotic,LTER 2,3708,18.54,200
2020,Abiotic,LTER 3,5444,27.22,200
2020,Abiotic,LTER 4,5104,25.52,200
2020,Abiotic,LTER 5,3008,15.04,300
2020,Abiotic,LTER 6,2700,13.5,200
2020,Crustose_corallines,LTER 1,1684,8.42,250
2020,Crustose_corallines,LTER 2,1832,9.16,350
2020,Crustose_corallines,LTER 3,3188,15.94,300
2020,Crustose_corallines,LTER 4,2464,12.32,300
2020,Crustose_corallines,LTER 5,2748,13.74,300
2020,Crustose_corallines,LTER 6,2104,10.52,300
2020,Cyanophyta,LTER 2,0,0,50
2020,Cyanophyta,LTER 4,116,0.58,150
2020,Cyanophyta,LTER 5,88,0.44,200
2020,Cyanophyta,LTER 6,148,0.74,100
2020,Fire_coral,LTER 1,28,0.14,50
2020,Fire_coral,LTER 2,104,0.52,50
2020,Fire_coral,LTER 4,120,0.6,100
2020,Fire_coral,LTER 5,76,0.38,100
2020,Fire_coral,LTER 6,16,0.08,100
2020,Hard_coral,LTER 1,3516,17.58,200
2020,Hard_coral,LTER 2,3028,15.14,200
2020,Hard_coral,LTER 3,3496,17.48,200
2020,Hard_coral,LTER 4,5328,26.64,200
2020,Hard_coral,LTER 5,7732,38.66,200
2020,Hard_coral,LTER 6,4752,23.76,200
2020,Macroalgae,LTER 1,5452,27.26,850
2020,Macroalgae,LTER 2,5884,29.42,900
2020,Macroalgae,LTER 3,2968,14.84,900
2020,Macroalgae,LTER 4,1216,6.08,750
2020,Macroalgae,LTER 5,504,2.52,800
2020,Macroalgae,LTER 6,2836,14.18,750
2020,Soft_coral,LTER 4,8,0.04,50
2020,Soft_coral,LTER 5,60,0.3,100
2020,Sponge,LTER 5,12,0.06,50
2020,Tridacna,LTER 1,4,0.02,50
2020,Tridacna,LTER 3,40,0.2,50
2020,Tridacna,LTER 4,20,0.1,50
2020,Tridacna,LTER 5,20,0.1,50
2020,Tridacna,LTER 6,24,0.12,50
2020,Turf,LTER 1,4840,24.2,200
2020,Turf,LTER 2,5444,27.22,250
2020,Turf,LTER 3,4864,24.32,200
2020,Turf,LTER 4,5624,28.12,300
2020,Turf,LTER 5,5752,28.76,300
2020,Turf,LTER 6,7420,37.1,250
