Year,Taxonomy,Site,Total_abund,N,Mean_abund_per_m2
2007,Acanthaster planci,LTER 1,0,80,0
2007,Acanthaster planci,LTER 2,2,80,0.025
2007,Acanthaster planci,LTER 3,2,80,0.025
2007,Acanthaster planci,LTER 4,0,80,0
2007,Acanthaster planci,LTER 5,1,80,0.0125
2007,Acanthaster planci,LTER 6,0,80,0
2007,Culcita novaeguineae,LTER 1,1,80,0.0125
2007,Culcita novaeguineae,LTER 2,0,80,0
2007,Culcita novaeguineae,LTER 3,0,80,0
2007,Culcita novaeguineae,LTER 4,0,80,0
2007,Culcita novaeguineae,LTER 5,0,80,0
2007,Culcita novaeguineae,LTER 6,1,80,0.0125
2007,Diadema savignyi,LTER 1,0,80,0
2007,Diadema savignyi,LTER 2,1,80,0.0125
2007,Diadema savignyi,LTER 3,22,80,0.275
2007,Diadema savignyi,LTER 4,209,80,2.6125
2007,Diadema savignyi,LTER 5,6,80,0.075
2007,Diadema savignyi,LTER 6,0,80,0
2007,Diadema setosum,LTER 1,2,80,0.025
2007,Diadema setosum,LTER 2,0,80,0
2007,Diadema setosum,LTER 3,5,80,0.0625
2007,Diadema setosum,LTER 4,9,80,0.1125
2007,Diadema setosum,LTER 5,0,80,0
2007,Diadema setosum,LTER 6,0,80,0
2007,Echinometra mathaei,LTER 1,325,80,4.0625
2007,Echinometra mathaei,LTER 2,231,80,2.8875
2007,Echinometra mathaei,LTER 3,253,80,3.1625
2007,Echinometra mathaei,LTER 4,119,80,1.4875
2007,Echinometra mathaei,LTER 5,93,80,1.1625
2007,Echinometra mathaei,LTER 6,32,80,0.4
2007,Echinometra oblonga,LTER 1,2,20,0.025
2007,Echinostrephus aciculatus,LTER 1,37,80,0.4625
2007,Echinostrephus aciculatus,LTER 2,5,80,0.0625
2007,Echinostrephus aciculatus,LTER 3,0,80,0
2007,Echinostrephus aciculatus,LTER 4,3,80,0.0375
2007,Echinostrephus aciculatus,LTER 5,59,80,0.7375
2007,Echinostrephus aciculatus,LTER 6,6,80,0.075
2007,Echinothrix calamaris,LTER 1,2,80,0.025
2007,Echinothrix calamaris,LTER 2,0,80,0
2007,Echinothrix calamaris,LTER 3,5,80,0.0625
2007,Echinothrix calamaris,LTER 4,2,80,0.025
2007,Echinothrix calamaris,LTER 5,0,80,0
2007,Echinothrix calamaris,LTER 6,0,80,0
2007,Echinothrix diadema,LTER 1,5,80,0.0625
2007,Echinothrix diadema,LTER 2,2,80,0.025
2007,Echinothrix diadema,LTER 3,2,80,0.025
2007,Echinothrix diadema,LTER 4,0,80,0
2007,Echinothrix diadema,LTER 5,4,80,0.05
2007,Echinothrix diadema,LTER 6,1,80,0.0125
2007,Tectus niloticus,LTER 1,0,80,0
2007,Tectus niloticus,LTER 2,0,80,0
2007,Tectus niloticus,LTER 3,0,80,0
2007,Tectus niloticus,LTER 4,1,80,0.0125
2007,Tectus niloticus,LTER 5,0,80,0
2007,Tectus niloticus,LTER 6,4,80,0.05
2008,Acanthaster planci,LTER 1,4,60,0.05
2008,Acanthaster planci,LTER 3,3,40,0.0375
2008,Acanthaster planci,LTER 4,1,20,0.0125
2008,Culcita novaeguineae,LTER 6,1,20,0.0125
2008,Diadema savignyi,LTER 1,1,20,0.0125
2008,Diadema savignyi,LTER 3,25,60,0.3125
2008,Diadema savignyi,LTER 4,234,60,2.925
2008,Diadema savignyi,LTER 5,1,40,0.0125
2008,Diadema savignyi,LTER 6,2,40,0.025
2008,Echinometra mathaei,LTER 1,192,60,2.4
2008,Echinometra mathaei,LTER 2,182,80,2.275
2008,Echinometra mathaei,LTER 3,249,60,3.1125
2008,Echinometra mathaei,LTER 4,39,40,0.4875
2008,Echinometra mathaei,LTER 5,78,40,0.975
2008,Echinometra mathaei,LTER 6,28,60,0.35
2008,Echinostrephus aciculatus,LTER 1,42,60,0.525
2008,Echinostrephus aciculatus,LTER 2,8,40,0.1
2008,Echinostrephus aciculatus,LTER 3,1,20,0.0125
2008,Echinostrephus aciculatus,LTER 4,8,40,0.1
2008,Echinostrephus aciculatus,LTER 5,75,60,0.9375
2008,Echinostrephus aciculatus,LTER 6,1,20,0.0125
2008,Echinothrix diadema,LTER 1,8,40,0.1
2008,Echinothrix diadema,LTER 2,1,20,0.0125
2008,Echinothrix diadema,LTER 3,13,40,0.1625
2008,Echinothrix diadema,LTER 4,1,20,0.0125
2008,Echinothrix diadema,LTER 5,2,20,0.025
2008,Echinothrix diadema,LTER 6,3,20,0.0375
2008,Tectus niloticus,LTER 1,1,20,0.0125
2009,Acanthaster planci,LTER 1,1,1,0.0125
2009,Acanthaster planci,LTER 3,1,1,0.0125
2009,Acanthaster planci,LTER 4,1,1,0.0125
2009,Acanthaster planci,LTER 5,1,1,0.0125
2009,Diadema savignyi,LTER 1,15,60,0.1875
2009,Diadema savignyi,LTER 2,12,80,0.15
2009,Diadema savignyi,LTER 3,32,80,0.4
2009,Diadema savignyi,LTER 4,180,60,2.25
2009,Diadema savignyi,LTER 5,5,40,0.0625
2009,Diadema savignyi,LTER 6,35,40,0.4375
2009,Echinometra mathaei,LTER 1,210,80,2.625
2009,Echinometra mathaei,LTER 2,151,80,1.8875
2009,Echinometra mathaei,LTER 3,318,80,3.975
2009,Echinometra mathaei,LTER 4,27,60,0.3375
2009,Echinometra mathaei,LTER 5,131,80,1.6375
2009,Echinometra mathaei,LTER 6,23,80,0.2875
2009,Echinostrephus aciculatus,LTER 1,38,60,0.475
2009,Echinostrephus aciculatus,LTER 2,16,40,0.2
2009,Echinostrephus aciculatus,LTER 3,2,40,0.025
2009,Echinostrephus aciculatus,LTER 4,6,40,0.075
2009,Echinostrephus aciculatus,LTER 5,80,60,1
2009,Echinostrephus aciculatus,LTER 6,6,40,0.075
2009,Echinothrix diadema,LTER 1,10,60,0.125
2009,Echinothrix diadema,LTER 2,1,20,0.0125
2009,Echinothrix diadema,LTER 3,16,40,0.2
2009,Echinothrix diadema,LTER 4,9,60,0.1125
2009,Echinothrix diadema,LTER 6,1,20,0.0125
2009,Tectus niloticus,LTER 1,1,1,0.0125
2009,Tectus niloticus,LTER 2,1,20,0.0125
2009,Tectus niloticus,LTER 6,1,1,0.0125
2010,Acanthaster planci,LTER 1,3,60,0.0375
2010,Acanthaster planci,LTER 2,1,20,0.0125
2010,Acanthaster planci,LTER 4,2,40,0.025
2010,Culcita novaeguineae,LTER 3,1,20,0.0125
2010,Culcita novaeguineae,LTER 6,1,20,0.0125
2010,Diadema savignyi,LTER 1,5,40,0.0625
2010,Diadema savignyi,LTER 2,1,20,0.0125
2010,Diadema savignyi,LTER 3,13,80,0.1625
2010,Diadema savignyi,LTER 4,135,40,1.6875
2010,Diadema savignyi,LTER 5,7,40,0.0875
2010,Diadema savignyi,LTER 6,9,60,0.1125
2010,Echinometra mathaei,LTER 1,300,80,3.75
2010,Echinometra mathaei,LTER 2,243,80,3.0375
2010,Echinometra mathaei,LTER 3,320,80,4
2010,Echinometra mathaei,LTER 4,48,80,0.6
2010,Echinometra mathaei,LTER 5,136,60,1.7
2010,Echinometra mathaei,LTER 6,73,80,0.9125
2010,Echinostrephus aciculatus,LTER 1,33,60,0.4125
2010,Echinostrephus aciculatus,LTER 2,11,20,0.1375
2010,Echinostrephus aciculatus,LTER 3,6,80,0.075
2010,Echinostrephus aciculatus,LTER 4,16,60,0.2
2010,Echinostrephus aciculatus,LTER 5,74,60,0.925
2010,Echinostrephus aciculatus,LTER 6,12,60,0.15
2010,Echinothrix diadema,LTER 1,10,40,0.125
2010,Echinothrix diadema,LTER 2,2,40,0.025
2010,Echinothrix diadema,LTER 3,10,40,0.125
2010,Echinothrix diadema,LTER 4,1,20,0.0125
2010,Echinothrix diadema,LTER 5,2,40,0.025
2010,Echinothrix diadema,LTER 6,2,20,0.025
2011,Acanthaster planci,LTER 1,1,20,0.0125
2011,Culcita novaeguineae,LTER 1,1,20,0.0125
2011,Culcita novaeguineae,LTER 3,1,20,0.0125
2011,Diadema savignyi,LTER 1,17,40,0.2125
2011,Diadema savignyi,LTER 2,8,80,0.1
2011,Diadema savignyi,LTER 3,35,60,0.4375
2011,Diadema savignyi,LTER 4,137,40,1.7125
2011,Diadema savignyi,LTER 5,1,40,0.0125
2011,Diadema savignyi,LTER 6,3,40,0.0375
2011,Echinometra mathaei,LTER 1,603,80,7.5375
2011,Echinometra mathaei,LTER 2,422,80,5.275
2011,Echinometra mathaei,LTER 3,744,80,9.3
2011,Echinometra mathaei,LTER 4,179,80,2.2375
2011,Echinometra mathaei,LTER 5,176,80,2.2
2011,Echinometra mathaei,LTER 6,92,80,1.15
2011,Echinostrephus aciculatus,LTER 1,83,60,1.0375
2011,Echinostrephus aciculatus,LTER 2,48,40,0.6
2011,Echinostrephus aciculatus,LTER 3,11,40,0.1375
2011,Echinostrephus aciculatus,LTER 4,28,40,0.35
2011,Echinostrephus aciculatus,LTER 5,70,60,0.875
2011,Echinostrephus aciculatus,LTER 6,21,40,0.2625
2011,Echinothrix calamaris,LTER 1,6,40,0.075
2011,Echinothrix calamaris,LTER 2,2,20,0.025
2011,Echinothrix calamaris,LTER 3,4,20,0.05
2011,Echinothrix calamaris,LTER 6,1,20,0.0125
2011,Echinothrix diadema,LTER 1,0,40,0
2011,Echinothrix diadema,LTER 3,15,20,0.1875
2011,Tectus niloticus,LTER 1,1,40,0.0125
2011,Tectus niloticus,LTER 2,2,2,0.025
2011,Tectus niloticus,LTER 5,2,20,0.025
2012,Acanthaster planci,LTER 1,1,20,0.0125
2012,Acanthaster planci,LTER 2,1,20,0.0125
2012,Acanthaster planci,LTER 3,1,20,0.0125
2012,Culcita novaeguineae,LTER 1,1,20,0.0125
2012,Culcita novaeguineae,LTER 3,1,20,0.0125
2012,Culcita novaeguineae,LTER 6,6,20,0.075
2012,Diadema savignyi,LTER 1,8,60,0.1
2012,Diadema savignyi,LTER 2,4,40,0.05
2012,Diadema savignyi,LTER 3,59,80,0.7375
2012,Diadema savignyi,LTER 4,92,80,1.15
2012,Diadema savignyi,LTER 5,7,40,0.0875
2012,Diadema savignyi,LTER 6,18,40,0.225
2012,Diadema setosum,LTER 3,0,80,0
2012,Diadema setosum,LTER 4,0,80,0
2012,Echinometra mathaei,LTER 1,954,80,11.925
2012,Echinometra mathaei,LTER 2,321,80,4.0125
2012,Echinometra mathaei,LTER 3,1016,80,12.7
2012,Echinometra mathaei,LTER 4,139,80,1.7375
2012,Echinometra mathaei,LTER 5,157,60,1.9625
2012,Echinometra mathaei,LTER 6,132,60,1.65
2012,Echinostrephus aciculatus,LTER 1,213,80,2.6625
2012,Echinostrephus aciculatus,LTER 2,63,60,0.7875
2012,Echinostrephus aciculatus,LTER 3,27,80,0.3375
2012,Echinostrephus aciculatus,LTER 4,45,80,0.5625
2012,Echinostrephus aciculatus,LTER 5,89,80,1.1125
2012,Echinostrephus aciculatus,LTER 6,33,40,0.4125
2012,Echinothrix calamaris,LTER 1,4,20,0.05
2012,Echinothrix calamaris,LTER 2,4,40,0.05
2012,Echinothrix calamaris,LTER 3,10,40,0.125
2012,Echinothrix calamaris,LTER 4,5,40,0.0625
2012,Echinothrix calamaris,LTER 5,7,20,0.0875
2012,Echinothrix calamaris,LTER 6,4,20,0.05
2012,Echinothrix diadema,LTER 1,6,40,0.075
2012,Echinothrix diadema,LTER 2,4,40,0.05
2012,Echinothrix diadema,LTER 3,10,40,0.125
2012,Echinothrix diadema,LTER 4,4,40,0.05
2012,Echinothrix diadema,LTER 5,10,20,0.125
2012,Echinothrix diadema,LTER 6,3,40,0.0375
2012,Tectus niloticus,LTER 2,1,20,0.0125
2012,Trochus maculatus,LTER 6,1,20,0.0125
2013,Acanthaster planci,LTER 3,1,20,0.0125
2013,Culcita novaeguineae,LTER 1,3,20,0.0375
2013,Culcita novaeguineae,LTER 2,1,20,0.0125
2013,Culcita novaeguineae,LTER 3,4,20,0.05
2013,Culcita novaeguineae,LTER 4,1,20,0.0125
2013,Culcita novaeguineae,LTER 6,1,20,0.0125
2013,Diadema savignyi,LTER 1,0,20,0
2013,Diadema savignyi,LTER 2,1,40,0.0125
2013,Diadema savignyi,LTER 3,13,60,0.1625
2013,Diadema savignyi,LTER 4,40,40,0.5
2013,Diadema savignyi,LTER 5,5,40,0.0625
2013,Diadema setosum,LTER 1,0,20,0
2013,Diadema setosum,LTER 2,0,40,0
2013,Echinometra mathaei,LTER 1,1523,60,19.0375
2013,Echinometra mathaei,LTER 2,345,80,4.3125
2013,Echinometra mathaei,LTER 3,766,40,9.575
2013,Echinometra mathaei,LTER 4,298,40,3.725
2013,Echinometra mathaei,LTER 5,164,60,2.05
2013,Echinometra mathaei,LTER 6,332,60,4.15
2013,Echinostrephus aciculatus,LTER 1,180,60,2.25
2013,Echinostrephus aciculatus,LTER 2,54,40,0.675
2013,Echinostrephus aciculatus,LTER 3,12,40,0.15
2013,Echinostrephus aciculatus,LTER 4,45,40,0.5625
2013,Echinostrephus aciculatus,LTER 5,78,60,0.975
2013,Echinostrephus aciculatus,LTER 6,44,60,0.55
2013,Echinothrix calamaris,LTER 1,10,40,0.125
2013,Echinothrix calamaris,LTER 2,0,40,0
2013,Echinothrix calamaris,LTER 3,0,20,0
2013,Echinothrix calamaris,LTER 4,0,20,0
2013,Echinothrix calamaris,LTER 5,5,20,0.0625
2013,Echinothrix calamaris,LTER 6,4,20,0.05
2013,Echinothrix diadema,LTER 1,2,60,0.025
2013,Echinothrix diadema,LTER 2,2,40,0.025
2013,Echinothrix diadema,LTER 4,1,20,0.0125
2013,Echinothrix diadema,LTER 5,1,20,0.0125
2013,Tectus niloticus,LTER 1,2,40,0.025
2013,Tectus niloticus,LTER 2,4,60,0.05
2013,Tripneustes gratilla,LTER 1,2,20,0.025
2013,Tripneustes gratilla,LTER 6,1,20,0.0125
2014,Culcita novaeguineae,LTER 3,1,20,0.0125
2014,Diadema savignyi,LTER 1,2,40,0.025
2014,Diadema savignyi,LTER 2,1,20,0.0125
2014,Diadema savignyi,LTER 3,14,40,0.175
2014,Diadema savignyi,LTER 4,13,40,0.1625
2014,Diadema savignyi,LTER 6,1,20,0.0125
2014,Echinometra mathaei,LTER 1,1025,60,12.8125
2014,Echinometra mathaei,LTER 2,402,60,5.025
2014,Echinometra mathaei,LTER 3,538,40,6.725
2014,Echinometra mathaei,LTER 4,289,40,3.6125
2014,Echinometra mathaei,LTER 5,193,60,2.4125
2014,Echinometra mathaei,LTER 6,219,60,2.7375
2014,Echinostrephus aciculatus,LTER 1,139,60,1.7375
2014,Echinostrephus aciculatus,LTER 2,25,60,0.3125
2014,Echinostrephus aciculatus,LTER 3,14,20,0.175
2014,Echinostrephus aciculatus,LTER 4,44,60,0.55
2014,Echinostrephus aciculatus,LTER 5,73,60,0.9125
2014,Echinostrephus aciculatus,LTER 6,44,40,0.55
2014,Echinothrix calamaris,LTER 4,1,20,0.0125
2014,Echinothrix calamaris,LTER 5,1,20,0.0125
2014,Echinothrix diadema,LTER 3,1,20,0.0125
2014,Tectus niloticus,LTER 1,1,20,0.0125
2014,Tectus niloticus,LTER 2,3,20,0.0375
2014,Tectus niloticus,LTER 5,1,20,0.0125
2014,Tripneustes gratilla,LTER 4,2,20,0.025
2014,Turbo marmoratus,LTER 1,2,40,0.025
2014,Turbo marmoratus,LTER 2,1,20,0.0125
2014,Turbo marmoratus,LTER 3,1,20,0.0125
2015,Acanthaster planci,LTER 4,1,20,0.0125
2015,Acanthaster planci,LTER 6,1,20,0.0125
2015,Diadema savignyi,LTER 1,2,20,0.025
2015,Diadema savignyi,LTER 3,16,60,0.2
2015,Diadema savignyi,LTER 4,4,40,0.05
2015,Diadema savignyi,LTER 5,2,20,0.025
2015,Echinometra mathaei,LTER 1,252,40,3.15
2015,Echinometra mathaei,LTER 2,410,40,5.125
2015,Echinometra mathaei,LTER 3,451,60,5.6375
2015,Echinometra mathaei,LTER 4,60,60,0.75
2015,Echinometra mathaei,LTER 5,380,40,4.75
2015,Echinometra mathaei,LTER 6,169,60,2.1125
2015,Echinostrephus aciculatus,LTER 1,96,60,1.2
2015,Echinostrephus aciculatus,LTER 2,13,40,0.1625
2015,Echinostrephus aciculatus,LTER 3,7,40,0.0875
2015,Echinostrephus aciculatus,LTER 4,34,60,0.425
2015,Echinostrephus aciculatus,LTER 5,75,60,0.9375
2015,Echinostrephus aciculatus,LTER 6,46,60,0.575
2015,Echinothrix calamaris,LTER 1,2,40,0.025
2015,Echinothrix calamaris,LTER 2,1,20,0.0125
2015,Echinothrix calamaris,LTER 4,1,20,0.0125
2015,Tectus niloticus,LTER 2,1,20,0.0125
2015,Tectus niloticus,LTER 5,1,20,0.0125
2015,Turbo marmoratus,LTER 2,1,20,0.0125
2016,Diadema savignyi,LTER 3,8,40,0.1
2016,Diadema savignyi,LTER 4,3,20,0.0375
2016,Diadema savignyi,LTER 6,1,20,0.0125
2016,Echinometra mathaei,LTER 1,137,40,1.7125
2016,Echinometra mathaei,LTER 2,112,80,1.4
2016,Echinometra mathaei,LTER 3,245,60,3.0625
2016,Echinometra mathaei,LTER 4,100,80,1.25
2016,Echinometra mathaei,LTER 5,171,80,2.1375
2016,Echinometra mathaei,LTER 6,67,40,0.8375
2016,Echinostrephus aciculatus,LTER 1,79,60,0.9875
2016,Echinostrephus aciculatus,LTER 2,20,20,0.25
2016,Echinostrephus aciculatus,LTER 3,14,60,0.175
2016,Echinostrephus aciculatus,LTER 4,28,60,0.35
2016,Echinostrephus aciculatus,LTER 5,61,60,0.7625
2016,Echinostrephus aciculatus,LTER 6,29,60,0.3625
2016,Echinothrix calamaris,LTER 6,1,20,0.0125
2016,Lambis truncata,LTER 2,1,20,0.0125
2016,Tectus niloticus,LTER 2,3,20,0.0375
2016,Tectus niloticus,LTER 4,1,20,0.0125
2017,Culcita novaeguineae,LTER 3,1,20,0.0125
2017,Diadema savignyi,LTER 1,8,40,0.1
2017,Diadema savignyi,LTER 2,1,20,0.0125
2017,Diadema savignyi,LTER 3,30,40,0.375
2017,Diadema savignyi,LTER 4,10,60,0.125
2017,Diadema savignyi,LTER 5,1,20,0.0125
2017,Echinometra mathaei,LTER 1,126,40,1.575
2017,Echinometra mathaei,LTER 2,102,40,1.275
2017,Echinometra mathaei,LTER 3,799,40,9.9875
2017,Echinometra mathaei,LTER 4,290,60,3.625
2017,Echinometra mathaei,LTER 5,87,60,1.0875
2017,Echinometra mathaei,LTER 6,112,60,1.4
2017,Echinostrephus aciculatus,LTER 1,102,60,1.275
2017,Echinostrephus aciculatus,LTER 2,9,40,0.1125
2017,Echinostrephus aciculatus,LTER 3,14,60,0.175
2017,Echinostrephus aciculatus,LTER 4,39,60,0.4875
2017,Echinostrephus aciculatus,LTER 5,91,60,1.1375
2017,Echinostrephus aciculatus,LTER 6,14,40,0.175
2017,Tectus niloticus,LTER 3,2,20,0.025
2017,Tectus niloticus,LTER 6,1,20,0.0125
2018,Echinometra mathaei,LTER 1,127,40,1.5875
2018,Echinometra mathaei,LTER 2,85,60,1.0625
2018,Echinometra mathaei,LTER 3,520,40,6.5
2018,Echinometra mathaei,LTER 4,185,40,2.3125
2018,Echinometra mathaei,LTER 5,85,60,1.0625
2018,Echinometra mathaei,LTER 6,62,40,0.775
2018,Echinostrephus aciculatus,LTER 1,115,60,1.4375
2018,Echinostrephus aciculatus,LTER 2,6,20,0.075
2018,Echinostrephus aciculatus,LTER 3,27,80,0.3375
2018,Echinostrephus aciculatus,LTER 4,40,60,0.5
2018,Echinostrephus aciculatus,LTER 5,76,60,0.95
2018,Echinostrephus aciculatus,LTER 6,16,40,0.2
2018,Echinothrix diadema,LTER 5,1,20,0.0125
2019,Acanthaster planci,LTER 2,0,20,0
2019,Echinometra mathaei,LTER 1,45,60,0.5625
2019,Echinometra mathaei,LTER 2,92,40,1.15
2019,Echinometra mathaei,LTER 3,201,40,2.5125
2019,Echinometra mathaei,LTER 4,75,40,0.9375
2019,Echinometra mathaei,LTER 5,69,40,0.8625
2019,Echinometra mathaei,LTER 6,47,40,0.5875
2019,Echinostrephus aciculatus,LTER 1,21,60,0.2625
2019,Echinostrephus aciculatus,LTER 2,3,20,0.0375
2019,Echinostrephus aciculatus,LTER 3,12,60,0.15
2019,Echinostrephus aciculatus,LTER 4,15,40,0.1875
2019,Echinostrephus aciculatus,LTER 5,48,60,0.6
2019,Echinostrephus aciculatus,LTER 6,9,40,0.1125
2019,Echinothrix calamaris,LTER 2,1,20,0.0125
2019,Echinothrix calamaris,LTER 3,1,20,0.0125
2019,Echinothrix calamaris,LTER 4,1,20,0.0125
2019,Echinothrix diadema,LTER 1,27,20,0.3375
2019,Echinothrix diadema,LTER 3,3,40,0.0375
2019,Tectus niloticus,LTER 6,2,40,0.025
2019,Turbo marmoratus,LTER 5,1,20,0.0125
2020,Echinometra mathaei,LTER 1,40,60,0.5
2020,Echinometra mathaei,LTER 2,17,60,0.2125
2020,Echinometra mathaei,LTER 3,100,40,1.25
2020,Echinometra mathaei,LTER 4,36,40,0.45
2020,Echinometra mathaei,LTER 5,41,40,0.5125
2020,Echinometra mathaei,LTER 6,10,40,0.125
2020,Echinostrephus aciculatus,LTER 1,10,40,0.125
2020,Echinostrephus aciculatus,LTER 2,3,20,0.0375
2020,Echinostrephus aciculatus,LTER 3,4,60,0.05
2020,Echinostrephus aciculatus,LTER 4,6,20,0.075
2020,Echinostrephus aciculatus,LTER 5,31,80,0.3875
2020,Echinostrephus aciculatus,LTER 6,8,40,0.1
2020,Echinothrix calamaris,LTER 2,0,20,0
2020,Echinothrix calamaris,LTER 3,0,20,0
2020,Echinothrix calamaris,LTER 4,0,20,0
2020,Echinothrix diadema,LTER 1,25,20,0.3125
2020,Echinothrix diadema,LTER 3,1,40,0.0125
2020,Echinothrix diadema,LTER 4,5,20,0.0625
